# Time-averaged data for fix outC
# TimeStep Number-of-rows
# Row c_grC[1] c_grC[2] c_grC[3] c_grC[4] c_grC[5]
20000000 400
1 0.0125 0 0 0 0
2 0.0375 0 0 0 0
3 0.0625 0 0 0 0
4 0.0875 0 0 0 0
5 0.1125 0 0 0 0
6 0.1375 0 0 0 0
7 0.1625 0 0 0 0
8 0.1875 0 0 0 0
9 0.2125 0 0 0 0
10 0.2375 0 0 0 0
11 0.2625 0 0 0 0
12 0.2875 0 0 0 0
13 0.3125 0 0 0 0
14 0.3375 0 0 0 0
15 0.3625 0 0 0 0
16 0.3875 0 0 0 0
17 0.4125 0 0 0 0
18 0.4375 0 0 0 0
19 0.4625 0 0 0 0
20 0.4875 0 0 0 0
21 0.5125 0 0 0 0
22 0.5375 0 0 0 0
23 0.5625 0 0 0 0
24 0.5875 0 0 0 0
25 0.6125 0 0 0 0
26 0.6375 0 0 0 0
27 0.6625 0 0 0 0
28 0.6875 0 0 0 0
29 0.7125 0 0 0 0
30 0.7375 0 0 0 0
31 0.7625 0 0 0 0
32 0.7875 0 0 0 0
33 0.8125 0 0 0 0
34 0.8375 0 0 0 0
35 0.8625 0 0 0 0
36 0.8875 0 0 0 0
37 0.9125 0 0 0 0
38 0.9375 0 0 0 0
39 0.9625 0 0 0 0
40 0.9875 0 0 0 0
41 1.0125 0 0 0 0
42 1.0375 0 0 0 0
43 1.0625 0 0 0 0
44 1.0875 0 0 0 0
45 1.1125 0 0 0 0
46 1.1375 0 0 0 0
47 1.1625 0 0 0 0
48 1.1875 0 0 0 0
49 1.2125 0 0 0 0
50 1.2375 0 0 0 0
51 1.2625 0 0 0 0
52 1.2875 0 0 0 0
53 1.3125 0 0 0 0
54 1.3375 0 0 0 0
55 1.3625 0 0 0 0
56 1.3875 0 0 0 0
57 1.4125 0 0 0 0
58 1.4375 0 0 0 0
59 1.4625 0 0 0 0
60 1.4875 0 0 0 0
61 1.5125 0 0 0 0
62 1.5375 0 0 0 0
63 1.5625 0 0 0 0
64 1.5875 0 0 0 0
65 1.6125 0 0 0 0
66 1.6375 0 0 0 0
67 1.6625 0 0 0 0
68 1.6875 0 0 0 0
69 1.7125 0 0 0 0
70 1.7375 0 0 0 0
71 1.7625 0 0 0 0
72 1.7875 0 0 0 0
73 1.8125 0 0 0 0
74 1.8375 0 0 0 0
75 1.8625 0 0 0 0
76 1.8875 0 0 0 0
77 1.9125 0 0 0 0
78 1.9375 0 0 0 0
79 1.9625 0 0 0 0
80 1.9875 0 0 0 0
81 2.0125 0 0 0 0
82 2.0375 0 0 0 0
83 2.0625 0 0 0 0
84 2.0875 0 0 0 0
85 2.1125 0 0 0 0
86 2.1375 0 0 0 0
87 2.1625 0 0 0 0
88 2.1875 0 0 0 0
89 2.2125 0 0 0 0
90 2.2375 0 0 0 0
91 2.2625 0 0 0 0
92 2.2875 0 0 0 0
93 2.3125 0 0 4.4331e-05 5e-06
94 2.3375 0 0 0.000260327 3.5e-05
95 2.3625 0 0 0.000339795 7.5e-05
96 2.3875 0 0 0.000415896 0.000125
97 2.4125 0 0 0.000855374 0.00023
98 2.4375 0 0 0.000718215 0.00032
99 2.4625 0 0 0.00144651 0.000505
100 2.4875 0 0 0.00141758 0.00069
101 2.5125 0 0 0.00270391 0.00105
102 2.5375 0 0 0.00335043 0.001505
103 2.5625 0 0 0.00519884 0.002225
104 2.5875 0 0 0.00662144 0.00316
105 2.6125 0 0 0.00962142 0.004545
106 2.6375 0 0 0.0115528 0.00624
107 2.6625 0 0 0.0165204 0.00871
108 2.6875 0 0 0.0205142 0.011835
109 2.7125 0 0 0.0252287 0.01575
110 2.7375 0 0 0.0351462 0.021305
111 2.7625 0 0 0.0433042 0.028275
112 2.7875 0.000732241 6e-05 0.0512263 0.03667
113 2.8125 0.00167832 0.0002 0.0641958 0.04738
114 2.8375 0.00323887 0.000475 0.0793228 0.06085
115 2.8625 0.00474488 0.000885 0.0961706 0.07747
116 2.8875 0.00773388 0.001565 0.114814 0.09766
117 2.9125 0.0135265 0.002775 0.135573 0.121915
118 2.9375 0.0207152 0.00466 0.164265 0.15181
119 2.9625 0.0348994 0.00789 0.192865 0.18751
120 2.9875 0.0451019 0.012135 0.223916 0.22966
121 3.0125 0.0695387 0.01879 0.259895 0.279405
122 3.0375 0.0973308 0.02826 0.294176 0.33665
123 3.0625 0.129164 0.041035 0.339441 0.403795
124 3.0875 0.172243 0.05835 0.378084 0.47981
125 3.1125 0.224743 0.08131 0.421099 0.56585
126 3.1375 0.282201 0.110605 0.474165 0.664295
127 3.1625 0.34773 0.14728 0.518324 0.77363
128 3.1875 0.410943 0.19131 0.573061 0.89643
129 3.2125 0.481204 0.24368 0.612738 1.0298
130 3.2375 0.569068 0.30658 0.664674 1.17674
