# Time-averaged data for fix outH
# TimeStep Number-of-rows
# Row c_grH[1] c_grH[2] c_grH[3] c_grH[4] c_grH[5]
20000000 400
1 0.0125 0 0 0 0
2 0.0375 0 0 0 0
3 0.0625 0 0 0 0
4 0.0875 0 0 0 0
5 0.1125 0 0 0 0
6 0.1375 0 0 0 0
7 0.1625 0 0 0 0
8 0.1875 0 0 0 0
9 0.2125 0 0 0 0
10 0.2375 0 0 0 0
11 0.2625 0 0 0 0
12 0.2875 0 0 0 0
13 0.3125 0 0 0 0
14 0.3375 0 0 0 0
15 0.3625 0 0 0 0
16 0.3875 0 0 0 0
17 0.4125 0 0 0 0
18 0.4375 0 0 0 0
19 0.4625 0 0 0 0
20 0.4875 0 0 0 0
21 0.5125 0 0 0 0
22 0.5375 0 0 0 0
23 0.5625 0 0 0 0
24 0.5875 0 0 0 0
25 0.6125 0 0 0 0
26 0.6375 0 0 0 0
27 0.6625 0 0 0 0
28 0.6875 0 0 0 0
29 0.7125 0 0 0 0
30 0.7375 0 0 0 0
31 0.7625 0 0 0 0
32 0.7875 0 0 0 0
33 0.8125 0 0 0 0
34 0.8375 0 0 0 0
35 0.8625 0 0 0 0
36 0.8875 0 0 0 0
37 0.9125 0 0 0 0
38 0.9375 0 0 0 0
39 0.9625 0 0 0 0
40 0.9875 0 0 0 0
41 1.0125 0 0 0 0
42 1.0375 0 0 0 0
43 1.0625 0 0 0 0
44 1.0875 0 0 0 0
45 1.1125 0 0 0 0
46 1.1375 0 0 0 0
47 1.1625 0 0 0 0
48 1.1875 0 0 0 0
49 1.2125 0 0 0 0
50 1.2375 0 0 0 0
51 1.2625 0 0 0 0
52 1.2875 0 0 0 0
53 1.3125 0 0 0 0
54 1.3375 0 0 0 0
55 1.3625 0 0 0 0
56 1.3875 0 0 0 0
57 1.4125 0 0 0 0
58 1.4375 0 0 0 0
59 1.4625 0 0 0 0
60 1.4875 0 0 0 0
61 1.5125 0 0 0 0
62 1.5375 0 0 0 0
63 1.5625 0 0 0 0
64 1.5875 0 0 0 0
65 1.6125 0 0 0 0
66 1.6375 0 0 8.84106e-05 5e-06
67 1.6625 0 0 5.71811e-05 8.33333e-06
68 1.6875 0 0 0.000110999 1.5e-05
69 1.7125 0 0 0.0002964 3.33333e-05
70 1.7375 0 0 0.000392634 5.83333e-05
71 1.7625 0 0 0.000483328 9e-05
72 1.7875 0 0 0.000766684 0.000141667
73 1.8125 0 0 0.00113055 0.00022
74 1.8375 0 0 0.00175531 0.000345
75 1.8625 0 0 0.00214133 0.000501667
76 1.8875 0 0 0.00361544 0.000773333
77 1.9125 0 0 0.00499065 0.00115833
78 1.9375 0 0 0.00684145 0.0017
79 1.9625 0 0 0.00789932 0.00234167
80 1.9875 0 0 0.0122429 0.00336167
81 2.0125 0 0 0.015199 0.00466
82 2.0375 0 0 0.0196632 0.00638167
83 2.0625 0 0 0.0262298 0.008735
84 2.0875 0 0 0.0319704 0.0116733
85 2.1125 0 0 0.0423562 0.01566
86 2.1375 0 0 0.0513854 0.0206117
87 2.1625 0 0 0.0632325 0.0268483
88 2.1875 3.30281e-05 1.66667e-06 0.0758159 0.0345
89 2.2125 0.000193715 1.16667e-05 0.087301 0.0435133
90 2.2375 0.000599801 4.33333e-05 0.103371 0.0544283
91 2.2625 0.00185248 0.000143333 0.122572 0.0676617
92 2.2875 0.00486277 0.000411667 0.142651 0.083405
93 2.3125 0.0104326 0.001 0.165044 0.10202
94 2.3375 0.0196402 0.00213167 0.186278 0.123487
95 2.3625 0.0363864 0.00427333 0.209866 0.148192
96 2.3875 0.060998 0.00794 0.235549 0.17651
97 2.4125 0.0877098 0.0133233 0.259966 0.208422
98 2.4375 0.122416 0.0209933 0.289334 0.244678
99 2.4625 0.169906 0.0318583 0.313345 0.284753
100 2.4875 0.219329 0.04617 0.338878 0.328978
101 2.5125 0.278152 0.0646867 0.366793 0.377813
102 2.5375 0.332834 0.0872867 0.393694 0.431278
103 2.5625 0.388806 0.11421 0.416545 0.488967
104 2.5875 0.445749 0.145682 0.444616 0.55175
105 2.6125 0.513397 0.182633 0.46815 0.61914
106 2.6375 0.564894 0.224073 0.494475 0.691688
107 2.6625 0.610875 0.26974 0.519455 0.769353
108 2.6875 0.654639 0.319602 0.544727 0.852333
109 2.7125 0.704427 0.374258 0.567414 0.940385
110 2.7375 0.742867 0.432965 0.593246 1.03415
111 2.7625 0.774755 0.495315 0.607481 1.13193
112 2.7875 0.810224 0.561705 0.625679 1.23446
113 2.8125 0.837223 0.631543 0.648711 1.34269
114 2.8375 0.852922 0.703962 0.667344 1.45601
115 2.8625 0.876318 0.779683 0.682433 1.57395
116 2.8875 0.890192 0.857953 0.701802 1.69736
117 2.9125 0.909146 0.93928 0.716002 1.82546
