# Time-averaged data for fix outN
# TimeStep Number-of-rows
# Row c_grN[1] c_grN[2] c_grN[3] c_grN[4] c_grN[5]
20000000 400
1 0.0125 0 0 0 0
2 0.0375 0 0 0 0
3 0.0625 0 0 0 0
4 0.0875 0 0 0 0
5 0.1125 0 0 0 0
6 0.1375 0 0 0 0
7 0.1625 0 0 0 0
8 0.1875 0 0 0 0
9 0.2125 0 0 0 0
10 0.2375 0 0 0 0
11 0.2625 0 0 0 0
12 0.2875 0 0 0 0
13 0.3125 0 0 0 0
14 0.3375 0 0 0 0
15 0.3625 0 0 0 0
16 0.3875 0 0 0 0
17 0.4125 0 0 0 0
18 0.4375 0 0 0 0
19 0.4625 0 0 0 0
20 0.4875 0 0 0 0
21 0.5125 0 0 0 0
22 0.5375 0 0 0 0
23 0.5625 0 0 0 0
24 0.5875 0 0 0 0
25 0.6125 0 0 0 0
26 0.6375 0 0 0 0
27 0.6625 0 0 0 0
28 0.6875 0 0 0 0
29 0.7125 0 0 0 0
30 0.7375 0 0 0 0
31 0.7625 0 0 0 0
32 0.7875 0 0 0 0
33 0.8125 0 0 0 0
34 0.8375 0 0 0 0
35 0.8625 0 0 0 0
36 0.8875 0 0 0 0
37 0.9125 0 0 0 0
38 0.9375 0 0 0 0
39 0.9625 0 0 0 0
40 0.9875 0 0 0 0
41 1.0125 0 0 0 0
42 1.0375 0 0 0 0
43 1.0625 0 0 0 0
44 1.0875 0 0 0 0
45 1.1125 0 0 0 0
46 1.1375 0 0 0 0
47 1.1625 0 0 0 0
48 1.1875 0 0 0 0
49 1.2125 0 0 0 0
50 1.2375 0 0 0 0
51 1.2625 0 0 0 0
52 1.2875 0 0 0 0
53 1.3125 0 0 0 0
54 1.3375 0 0 0 0
55 1.3625 0 0 0 0
56 1.3875 0 0 0 0
57 1.4125 0 0 0 0
58 1.4375 0 0 0 0
59 1.4625 0 0 0 0
60 1.4875 0 0 0 0
61 1.5125 0 0 0 0
62 1.5375 0 0 0 0
63 1.5625 0 0 0 0
64 1.5875 0 0 0 0
65 1.6125 0 0 0 0
66 1.6375 0 0 0 0
67 1.6625 0 0 0 0
68 1.6875 0 0 0 0
69 1.7125 0 0 0 0
70 1.7375 0 0 0 0
71 1.7625 0 0 0 0
72 1.7875 0 0 0 0
73 1.8125 0 0 0 0
74 1.8375 0 0 0 0
75 1.8625 0 0 6.83402e-05 5e-06
76 1.8875 0 0 6.65419e-05 1e-05
77 1.9125 0 0 6.48136e-05 1.5e-05
78 1.9375 0 0 0 1.5e-05
79 1.9625 0 0 6.15531e-05 2e-05
80 1.9875 0 0 0 2e-05
81 2.0125 0 0 0.000292663 4.5e-05
82 2.0375 0 0 0.00022842 6.5e-05
83 2.0625 0 0 0.000835936 0.00014
84 2.0875 0 0 0.000870436 0.00022
85 2.1125 0 0 0.00233738 0.00044
86 2.1375 0 0 0.00363209 0.00079
87 2.1625 0 0 0.00552567 0.001335
88 2.1875 0 0 0.00708452 0.00205
89 2.2125 0 0 0.0107996 0.003165
90 2.2375 0 0 0.0141111 0.004655
91 2.2625 0 0 0.0206552 0.006885
92 2.2875 0 0 0.0292672 0.010115
93 2.3125 0 0 0.0354205 0.01411
94 2.3375 0 0 0.0446461 0.019255
95 2.3625 0 0 0.0594217 0.02625
96 2.3875 0 0 0.0693714 0.03459
97 2.4125 0 0 0.0826454 0.044735
98 2.4375 0 0 0.0969192 0.05688
99 2.4625 0 0 0.123422 0.072665
100 2.4875 0 0 0.141145 0.091085
101 2.5125 0 0 0.160807 0.112495
102 2.5375 0 0 0.184347 0.13753
103 2.5625 0 0 0.216077 0.167455
104 2.5875 0 0 0.239363 0.201255
105 2.6125 0.000138937 1e-05 0.264711 0.23936
106 2.6375 6.8158e-05 1.5e-05 0.300372 0.28343
107 2.6625 0.000200652 3e-05 0.345891 0.335145
108 2.6875 0.00131291 0.00013 0.372571 0.3919
109 2.7125 0.00335093 0.00039 0.415677 0.456405
110 2.7375 0.00607387 0.00087 0.446872 0.527035
111 2.7625 0.00882239 0.00158 0.483088 0.60479
112 2.7875 0.0136075 0.002695 0.509243 0.688245
113 2.8125 0.0216983 0.004505 0.54965 0.779945
114 2.8375 0.0321531 0.007235 0.574163 0.877445
115 2.8625 0.049937 0.01155 0.597681 0.980735
116 2.8875 0.064032 0.01718 0.610436 1.08808
117 2.9125 0.0825006 0.02456 0.620403 1.19908
118 2.9375 0.102642 0.0339 0.627361 1.31325
119 2.9625 0.126254 0.045585 0.638968 1.43153
120 2.9875 0.149968 0.0597 0.627389 1.54963
121 3.0125 0.185628 0.077465 0.631831 1.67056
122 3.0375 0.20828 0.09773 0.642619 1.79561
123 3.0625 0.238359 0.121305 0.640209 1.92225
124 3.0875 0.267491 0.148195 0.639656 2.05086
