# Time-averaged data for fix outO
# TimeStep Number-of-rows
# Row c_grO[1] c_grO[2] c_grO[3] c_grO[4] c_grO[5]
20000000 400
1 0.0125 0 0 0 0
2 0.0375 0 0 0 0
3 0.0625 0 0 0 0
4 0.0875 0 0 0 0
5 0.1125 0 0 0 0
6 0.1375 0 0 0 0
7 0.1625 0 0 0 0
8 0.1875 0 0 0 0
9 0.2125 0 0 0 0
10 0.2375 0 0 0 0
11 0.2625 0 0 0 0
12 0.2875 0 0 0 0
13 0.3125 0 0 0 0
14 0.3375 0 0 0 0
15 0.3625 0 0 0 0
16 0.3875 0 0 0 0
17 0.4125 0 0 0 0
18 0.4375 0 0 0 0
19 0.4625 0 0 0 0
20 0.4875 0 0 0 0
21 0.5125 0 0 0 0
22 0.5375 0 0 0 0
23 0.5625 0 0 0 0
24 0.5875 0 0 0 0
25 0.6125 0 0 0 0
26 0.6375 0 0 0 0
27 0.6625 0 0 0 0
28 0.6875 0 0 0 0
29 0.7125 0 0 0 0
30 0.7375 0 0 0 0
31 0.7625 0 0 0 0
32 0.7875 0 0 0 0
33 0.8125 0 0 0 0
34 0.8375 0 0 0 0
35 0.8625 0 0 0 0
36 0.8875 0 0 0 0
37 0.9125 0 0 0 0
38 0.9375 0 0 0 0
39 0.9625 0 0 0 0
40 0.9875 0 0 0 0
41 1.0125 0 0 0 0
42 1.0375 0 0 0 0
43 1.0625 0 0 0 0
44 1.0875 0 0 0 0
45 1.1125 0 0 0 0
46 1.1375 0 0 0 0
47 1.1625 0 0 0 0
48 1.1875 0 0 0 0
49 1.2125 0 0 0 0
50 1.2375 0 0 0 0
51 1.2625 0 0 0 0
52 1.2875 0 0 0 0
53 1.3125 0 0 0 0
54 1.3375 0 0 0 0
55 1.3625 0 0 6.38499e-05 2.5e-06
56 1.3875 0 0 0.000307849 1.5e-05
57 1.4125 0 0 0.00112878 6.25e-05
58 1.4375 0 0 0.0045889 0.0002625
59 1.4625 0 0 0.00958714 0.000695
60 1.4875 0 0 0.0230351 0.00177
61 1.5125 0 0 0.049223 0.004145
62 1.5375 0 0 0.083086 0.0082875
63 1.5625 0 0 0.135408 0.01526
64 1.5875 0 0 0.202198 0.0260075
65 1.6125 0 0 0.274158 0.0410425
66 1.6375 0 0 0.351653 0.06093
67 1.6625 0 0 0.430102 0.0860025
68 1.6875 0 0 0.497788 0.1159
69 1.7125 0 0 0.547504 0.149765
70 1.7375 0 0 0.587656 0.187183
71 1.7625 0 0 0.610253 0.227165
72 1.7875 0 0 0.608512 0.268172
73 1.8125 0 0 0.619624 0.311105
74 1.8375 0 0 0.60674 0.354313
75 1.8625 0 0 0.588272 0.397353
76 1.8875 0 0 0.562345 0.439607
77 1.9125 0 0 0.530694 0.480547
78 1.9375 0 0 0.502625 0.520342
79 1.9625 0 0 0.472082 0.55869
80 1.9875 0 0 0.443356 0.595627
81 2.0125 0 0 0.419767 0.631485
82 2.0375 0 0 0.393197 0.665913
83 2.0625 0 0 0.379989 0.700005
84 2.0875 0 0 0.351493 0.73231
85 2.1125 0 0 0.338442 0.764165
86 2.1375 0 0 0.325954 0.795575
87 2.1625 0 0 0.311465 0.826295
88 2.1875 0 0 0.30508 0.857085
89 2.2125 0 0 0.292849 0.88732
90 2.2375 0 0 0.280044 0.91689
91 2.2625 0 0 0.280628 0.947188
92 2.2875 0 0 0.276906 0.977748
93 2.3125 0 0 0.274852 1.00875
94 2.3375 0 0 0.276402 1.0406
95 2.3625 8.49489e-05 5e-06 0.277846 1.07331
96 2.3875 0.00095656 6.25e-05 0.279232 1.10688
97 2.4125 0.00232173 0.000205 0.283047 1.14162
98 2.4375 0.00710235 0.00065 0.287286 1.17762
99 2.4625 0.0188437 0.001855 0.293661 1.21518
100 2.4875 0.0440599 0.00473 0.303343 1.25477
101 2.5125 0.0828823 0.0102475 0.315287 1.29675
102 2.5375 0.139393 0.0197125 0.327864 1.34127
103 2.5625 0.21586 0.03466 0.336787 1.38791
104 2.5875 0.310641 0.0565925 0.352424 1.43768
105 2.6125 0.414694 0.08644 0.376173 1.49183
106 2.6375 0.519807 0.124573 0.384241 1.5482
107 2.6625 0.604498 0.169762 0.405418 1.60882
108 2.6875 0.681794 0.221693 0.423693 1.67336
109 2.7125 0.728345 0.278205 0.434897 1.74085
110 2.7375 0.786123 0.34033 0.460981 1.81371
111 2.7625 0.825639 0.406775 0.47689 1.89046
112 2.7875 0.86139 0.477357 0.504956 1.97322
113 2.8125 0.875365 0.550378 0.524026 2.06064
114 2.8375 0.882091 0.625273 0.543629 2.15296
115 2.8625 0.890909 0.702255 0.574087 2.25217
116 2.8875 0.894884 0.780938 0.594073 2.35664
117 2.9125 0.890962 0.860637 0.627837 2.46896
118 2.9375 0.911906 0.943617 0.64956 2.58718
