# Time-averaged data for fix outW
# TimeStep Number-of-rows
# Row c_grW[1] c_grW[2] c_grW[3] c_grW[4] c_grW[5] c_grW[6] c_grW[7]
20000000 400
1 0.0125 0 0 0 0 0 0
2 0.0375 0 0 0 0 0 0
3 0.0625 0 0 0 0 0 0
4 0.0875 0 0 0 0 0 0
5 0.1125 0 0 0 0 0 0
6 0.1375 0 0 0 0 0 0
7 0.1625 0 0 0 0 0 0
8 0.1875 0 0 0 0 0 0
9 0.2125 0 0 0 0 0 0
10 0.2375 0 0 0 0 0 0
11 0.2625 0 0 0 0 0 0
12 0.2875 0 0 0 0 0 0
13 0.3125 0 0 0 0 0 0
14 0.3375 0 0 0 0 0 0
15 0.3625 0 0 0 0 0 0
16 0.3875 0 0 0 0 0 0
17 0.4125 0 0 0 0 0 0
18 0.4375 0 0 0 0 0 0
19 0.4625 0 0 0 0 0 0
20 0.4875 0 0 0 0 0 0
21 0.5125 0 0 0 0 0 0
22 0.5375 0 0 0 0 0 0
23 0.5625 0 0 0 0 0 0
24 0.5875 0 0 0 0 0 0
25 0.6125 0 0 0 0 0 0
26 0.6375 0 0 0 0 0 0
27 0.6625 0 0 0 0 0 0
28 0.6875 0 0 0 0 0 0
29 0.7125 0 0 0 0 0 0
30 0.7375 0 0 0 0 0 0
31 0.7625 0 0 0 0 0 0
32 0.7875 0 0 0 0 0 0
33 0.8125 0 0 0 0 0 0
34 0.8375 0 0 0 0 0 0
35 0.8625 0 0 0 0 0 0
36 0.8875 0 0 0 0 0 0
37 0.9125 0 0 0 0 0 0
38 0.9375 0 0 0 0 0 0
39 0.9625 0 0 0 0 0 0
40 0.9875 0 0 0 0 0 0
41 1.0125 0 0 0 0 0 0
42 1.0375 0 0 0 0 0 0
43 1.0625 0 0 0 0 0 0
44 1.0875 0 0 0 0 0 0
45 1.1125 0 0 0 0 0 0
46 1.1375 0 0 0 0 0 0
47 1.1625 0 0 0 0 0 0
48 1.1875 0 0 0 0 3.2866e-07 9.76563e-09
49 1.2125 0 0 0 0 6.30494e-07 2.92969e-08
50 1.2375 0 0 0 0 0 2.92969e-08
51 1.2625 0 0 0 0 1.45386e-06 7.8125e-08
52 1.2875 0 0 0 0 2.7959e-06 1.75781e-07
53 1.3125 0 0 0 0 5.38081e-06 3.71094e-07
54 1.3375 0 0 0 0 1.3472e-05 8.78906e-07
55 1.3625 2.49414e-07 9.76563e-09 0 0 2.7712e-05 1.96289e-06
56 1.3875 2.04431e-05 8.39844e-07 0 0 7.19819e-05 4.88281e-06
57 1.4125 0.000165233 7.79297e-06 0 0 0.000146811 1.10547e-05
58 1.4375 0.00103586 5.29395e-05 0 0 0.000281928 2.33301e-05
59 1.4625 0.00473231 0.000266426 0 0 0.000507691 4.62109e-05
60 1.4875 0.0165947 0.00104087 0 0 0.000990965 9.24121e-05
61 1.5125 0.0475275 0.00333406 0 0 0.00179418 0.000178896
62 1.5375 0.11216 0.00892615 0 0 0.0030756 0.00033209
63 1.5625 0.223808 0.0204506 0 0 0.0051442 0.000596719
64 1.5875 0.389278 0.041142 0 0 0.0083445 0.00103982
65 1.6125 0.601201 0.0741123 0 0 0.0129546 0.00174957
66 1.6375 0.841016 0.121675 0 0 0.0197175 0.00286359
67 1.6625 1.08005 0.184636 0 0 0.029096 0.00455807
68 1.6875 1.29146 0.262202 0 0 0.0415303 0.00704997
69 1.7125 1.45293 0.35207 0 0 0.0580439 0.0106367
70 1.7375 1.55437 0.451041 0 0 0.0787694 0.0156472
71 1.7625 1.59332 0.555433 0 0 0.104509 0.0224877
72 1.7875 1.57917 0.661853 0 0 0.135788 0.0316295
73 1.8125 1.51937 0.767126 0 0 0.173096 0.0436113
74 1.8375 1.42889 0.868881 0 0 0.215899 0.058971
75 1.8625 1.31844 0.965343 0 0 0.264582 0.0783098
76 1.8875 1.19803 1.05536 0 0 0.318598 0.102226
77 1.9125 1.07735 1.13847 0 0 0.377917 0.131352
78 1.9375 0.960338 1.21451 0 0 0.441467 0.16627
79 1.9625 0.850863 1.28362 0 0 0.508995 0.207576
80 1.9875 0.751745 1.34626 0 0 0.579013 0.255769
81 2.0125 0.662759 1.40287 0 0 0.651123 0.311335
82 2.0375 0.584122 1.45401 0 0 0.724393 0.374699
83 2.0625 0.515579 1.50027 0 0 0.797143 0.446149
84 2.0875 0.456763 1.54225 0 0 0.869326 0.525969
85 2.1125 0.406341 1.5805 0 0 0.938621 0.614228
86 2.1375 0.363063 1.61548 0 0 1.00596 0.711071
87 2.1625 0.326175 1.64765 0 0 1.06814 0.816319
88 2.1875 0.295041 1.67743 0 0 1.12627 0.929877
89 2.2125 0.269562 1.70526 0 0 1.17914 1.0515
90 2.2375 0.247887 1.73144 0 0 1.22519 1.18074
91 2.2625 0.230056 1.75627 0 0 1.2648 1.31716
92 2.2875 0.215942 1.78011 0 0 1.29694 1.46015
93 2.3125 0.204951 1.80322 0 0 1.3225 1.60917
94 2.3375 0.196511 1.82587 0 0 1.33931 1.76336
95 2.3625 0.19063 1.84831 4.65473e-06 2.73438e-07 1.34857 1.92196
96 2.3875 0.187927 1.8709 7.32497e-05 4.66797e-06 1.3507 2.08418
97 2.4125 0.187165 1.89388 0.000583481 4.04102e-05 1.34426 2.24903
98 2.4375 0.189355 1.9176 0.0034791 0.000257969 1.33076 2.41563
99 2.4625 0.194127 1.94243 0.0150424 0.00121801 1.30929 2.58292
100 2.4875 0.201724 1.96876 0.050819 0.00452758 1.28252 2.75013
101 2.5125 0.212275 1.99702 0.138046 0.0136994 1.24938 2.91631
102 2.5375 0.225454 2.02764 0.308851 0.03463 1.2116 3.08069
103 2.5625 0.242206 2.06118 0.587728 0.0752484 1.16994 3.24256
104 2.5875 0.262438 2.09824 0.975087 0.143959 1.12559 3.40134
105 2.6125 0.286072 2.13942 1.43959 0.247371 1.07918 3.55654
106 2.6375 0.312834 2.18532 1.92811 0.388539 1.0321 3.70782
107 2.6625 0.343815 2.23672 2.37739 0.565916 0.986297 3.85514
108 2.6875 0.378126 2.29432 2.73502 0.773826 0.941953 3.99849
109 2.7125 0.41582 2.35885 2.9694 1.00377 0.900396 4.13808
110 2.7375 0.456998 2.43108 3.07222 1.24609 0.862818 4.27432
111 2.7625 0.502099 2.5119 3.05832 1.49173 0.827864 4.40743
112 2.7875 0.550577 2.60213 2.95286 1.73322 0.798719 4.5382
113 2.8125 0.602423 2.70263 2.77732 1.96444 0.773433 4.66711
114 2.8375 0.6586 2.81447 2.5661 2.18189 0.753006 4.79485
115 2.8625 0.718247 2.93859 2.33972 2.38367 0.737259 4.92214
116 2.8875 0.782133 3.07613 2.11505 2.56927 0.725043 5.04952
117 2.9125 0.849818 3.22817 1.90242 2.73912 0.716976 5.17766
118 2.9375 0.921595 3.39589 1.70953 2.89438 0.712465 5.3072
119 2.9625 0.995544 3.58017 1.54192 3.0368 0.709951 5.43849
120 2.9875 1.0726 3.78208 1.39639 3.16798 0.711388 5.57227
121 3.0125 1.14991 4.00218 1.27332 3.2896 0.714646 5.70892
122 3.0375 1.22738 4.24102 1.17298 3.4035 0.720678 5.84902
123 3.0625 1.29947 4.49807 1.09034 3.51113 0.728265 5.99294
124 3.0875 1.36709 4.77293 1.02392 3.61386 0.737453 6.14106
125 3.1125 1.42728 5.06455 0.970557 3.71282 0.747942 6.29373
126 3.1375 1.47813 5.37144 0.928767 3.80905 0.759609 6.45129
127 3.1625 1.51804 5.69165 0.896292 3.90339 0.772372 6.61405
128 3.1875 1.54653 6.02306 0.871995 3.99664 0.786088 6.78234
129 3.2125 1.56497 6.36369 0.854011 4.0894 0.800773 6.95647
130 3.2375 1.57256 6.71133 0.841593 4.18224 0.816235 7.13673
131 3.2625 1.57183 7.06419 0.832949 4.27556 0.83256 7.32345
132 3.2875 1.56241 7.42033 0.827479 4.36968 0.849299 7.51685
133 3.3125 1.54629 7.77818 0.82574 4.46504 0.866032 7.71708
134 3.3375 1.52491 8.13642 0.825897 4.56187 0.88336 7.9244
135 3.3625 1.50038 8.49421 0.826221 4.66019 0.90131 8.13912
136 3.3875 1.47265 8.85062 0.828792 4.76028 0.919935 8.36155
137 3.4125 1.44369 9.20521 0.83145 4.86219 0.937876 8.59167
138 3.4375 1.41247 9.55722 0.835244 4.96607 0.956525 8.82983
139 3.4625 1.3817 9.90659 0.840228 5.07209 0.974821 9.07608
