# Time-averaged data for fix outC
# TimeStep Number-of-rows
# Row c_grC[1] c_grC[2] c_grC[3] c_grC[4] c_grC[5]
20000000 400
1 0.0125 0 0 0 0
2 0.0375 0 0 0 0
3 0.0625 0 0 0 0
4 0.0875 0 0 0 0
5 0.1125 0 0 0 0
6 0.1375 0 0 0 0
7 0.1625 0 0 0 0
8 0.1875 0 0 0 0
9 0.2125 0 0 0 0
10 0.2375 0 0 0 0
11 0.2625 0 0 0 0
12 0.2875 0 0 0 0
13 0.3125 0 0 0 0
14 0.3375 0 0 0 0
15 0.3625 0 0 0 0
16 0.3875 0 0 0 0
17 0.4125 0 0 0 0
18 0.4375 0 0 0 0
19 0.4625 0 0 0 0
20 0.4875 0 0 0 0
21 0.5125 0 0 0 0
22 0.5375 0 0 0 0
23 0.5625 0 0 0 0
24 0.5875 0 0 0 0
25 0.6125 0 0 0 0
26 0.6375 0 0 0 0
27 0.6625 0 0 0 0
28 0.6875 0 0 0 0
29 0.7125 0 0 0 0
30 0.7375 0 0 0 0
31 0.7625 0 0 0 0
32 0.7875 0 0 0 0
33 0.8125 0 0 0 0
34 0.8375 0 0 0 0
35 0.8625 0 0 0 0
36 0.8875 0 0 0 0
37 0.9125 0 0 0 0
38 0.9375 0 0 0 0
39 0.9625 0 0 0 0
40 0.9875 0 0 0 0
41 1.0125 0 0 0 0
42 1.0375 0 0 0 0
43 1.0625 0 0 0 0
44 1.0875 0 0 0 0
45 1.1125 0 0 0 0
46 1.1375 0 0 0 0
47 1.1625 0 0 0 0
48 1.1875 0 0 0 0
49 1.2125 0 0 0 0
50 1.2375 0 0 0 0
51 1.2625 0 0 0 0
52 1.2875 0 0 0 0
53 1.3125 0 0 0 0
54 1.3375 0 0 0 0
55 1.3625 0 0 0 0
56 1.3875 0 0 0 0
57 1.4125 0 0 0 0
58 1.4375 0 0 0 0
59 1.4625 0 0 0 0
60 1.4875 0 0 0 0
61 1.5125 0 0 0 0
62 1.5375 0 0 0 0
63 1.5625 0 0 0 0
64 1.5875 0 0 0 0
65 1.6125 0 0 0.000182346 1e-05
66 1.6375 0 0 8.84106e-05 1.5e-05
67 1.6625 0 0 0.000257315 3e-05
68 1.6875 0 0 0.000249747 4.5e-05
69 1.7125 0 0 0.000242509 6e-05
70 1.7375 0 0 0.000549688 9.5e-05
71 1.7625 0 0 0.000534205 0.00013
72 1.7875 0 0 0.00126132 0.000215
73 1.8125 0 0 0.00187623 0.000345
74 1.8375 0 0 0.00147446 0.00045
75 1.8625 0 0 0.00355369 0.00071
76 1.8875 0 0 0.00332709 0.00096
77 1.9125 0 0 0.00466658 0.00132
78 1.9375 0 0 0.00656779 0.00184
79 1.9625 0 0 0.00935607 0.0026
80 1.9875 0 0 0.012483 0.00364
81 2.0125 0 0 0.0177939 0.00516
82 2.0375 0 0 0.0222139 0.007105
83 2.0625 0 0 0.0286448 0.009675
84 2.0875 0 0 0.0360143 0.012985
85 2.1125 0 0 0.0461633 0.01733
86 2.1375 0 0 0.0602407 0.023135
87 2.1625 0 0 0.0757371 0.030605
88 2.1875 0.000297253 1.5e-05 0.0930401 0.039995
89 2.2125 0.0025183 0.000145 0.122186 0.05261
90 2.2375 0.00587173 0.000455 0.149066 0.06835
91 2.2625 0.0110223 0.00105 0.190296 0.088895
92 2.2875 0.0217465 0.00225 0.231782 0.114475
93 2.3125 0.0434444 0.0047 0.28261 0.14635
94 2.3375 0.0725444 0.00888 0.340594 0.1856
95 2.3625 0.130227 0.016545 0.400916 0.232795
96 2.3875 0.189482 0.027935 0.466011 0.28882
97 2.4125 0.270705 0.04455 0.528865 0.35374
98 2.4375 0.391826 0.0691 0.600628 0.429005
99 2.4625 0.498928 0.101005 0.657496 0.513095
100 2.4875 0.607796 0.140665 0.720092 0.60707
101 2.5125 0.732459 0.189425 0.78342 0.711375
102 2.5375 0.879728 0.24916 0.846555 0.82634
103 2.5625 1.02302 0.32 0.882973 0.948625
104 2.5875 1.19781 0.40457 0.933659 1.08047
105 2.6125 1.34269 0.50121 0.982392 1.22188
106 2.6375 1.45592 0.608015 1.01198 1.37035
107 2.6625 1.57418 0.725695 1.0652 1.52961
108 2.6875 1.65991 0.852125 1.09772 1.69684
109 2.7125 1.70923 0.984745 1.13242 1.87257
110 2.7375 1.77142 1.12473 1.14331 2.05327
111 2.7625 1.83195 1.27216 1.18689 2.2443
112 2.7875 1.85147 1.42387 1.22406 2.4449
113 2.8125 1.88218 1.58088 1.22691 2.6496
114 2.8375 1.90981 1.74304 1.25859 2.86332
115 2.8625 1.91682 1.90867 1.2922 3.08663
116 2.8875 1.87234 2.07329 1.30913 3.31684
117 2.9125 1.85129 2.2389 1.33474 3.55564
118 2.9375 1.84469 2.40676 1.35464 3.80218
