# Time-averaged data for fix outH
# TimeStep Number-of-rows
# Row c_grH[1] c_grH[2] c_grH[3] c_grH[4] c_grH[5]
20000000 400
1 0.0125 0 0 0 0
2 0.0375 0 0 0 0
3 0.0625 0 0 0 0
4 0.0875 0 0 0 0
5 0.1125 0 0 0 0
6 0.1375 0 0 0 0
7 0.1625 0 0 0 0
8 0.1875 0 0 0 0
9 0.2125 0 0 0 0
10 0.2375 0 0 0 0
11 0.2625 0 0 0 0
12 0.2875 0 0 0 0
13 0.3125 0 0 0 0
14 0.3375 0 0 0 0
15 0.3625 0 0 0 0
16 0.3875 0 0 0 0
17 0.4125 0 0 0 0
18 0.4375 0 0 0 0
19 0.4625 0 0 0 0
20 0.4875 0 0 0 0
21 0.5125 0 0 0 0
22 0.5375 0 0 0 0
23 0.5625 0 0 0 0
24 0.5875 0 0 0 0
25 0.6125 0 0 0 0
26 0.6375 0 0 0 0
27 0.6625 0 0 0 0
28 0.6875 0 0 0 0
29 0.7125 0 0 0 0
30 0.7375 0 0 0 0
31 0.7625 0 0 0 0
32 0.7875 0 0 0 0
33 0.8125 0 0 0 0
34 0.8375 0 0 0 0
35 0.8625 0 0 0 0
36 0.8875 0 0 0 0
37 0.9125 0 0 0 0
38 0.9375 0 0 0 0
39 0.9625 0 0 0 0
40 0.9875 0 0 0 0
41 1.0125 0 0 0 0
42 1.0375 0 0 7.34103e-05 1.66667e-06
43 1.0625 0 0 0 1.66667e-06
44 1.0875 0 0 0 1.66667e-06
45 1.1125 0 0 6.38463e-05 3.33333e-06
46 1.1375 0 0 6.10708e-05 5e-06
47 1.1625 0 0 0.000175417 1e-05
48 1.1875 0 0 5.60365e-05 1.16667e-05
49 1.2125 0 0 0.000644995 3.16667e-05
50 1.2375 0 0 0.000928798 6.16667e-05
51 1.2625 0 0 0.000793226 8.83333e-05
52 1.2875 0 0 0.0019068 0.000155
53 1.3125 0 0 0.0022477 0.000236667
54 1.3375 0 0 0.00282705 0.000343333
55 1.3625 0 0 0.00557622 0.000561667
56 1.3875 0 0 0.00775779 0.000876667
57 1.4125 0 0 0.0108918 0.001335
58 1.4375 0 0 0.0150669 0.00199167
59 1.4625 0 0 0.0205782 0.00292
60 1.4875 0 0 0.0299634 0.00431833
61 1.5125 0 0 0.0350606 0.00601
62 1.5375 0 0 0.0466993 0.00833833
63 1.5625 0 0 0.0558334 0.0112133
64 1.5875 0 0 0.0708327 0.0149783
65 1.6125 0 0 0.0899271 0.01991
66 1.6375 0 0 0.107036 0.0259633
67 1.6625 0.000171543 5e-06 0.127171 0.0333767
68 1.6875 0.000499495 2e-05 0.148794 0.0423133
69 1.7125 0.0023712 9.33333e-05 0.175981 0.0531983
70 1.7375 0.00816679 0.000353333 0.197626 0.0657817
71 1.7625 0.0212156 0.00104833 0.226223 0.0806033
72 1.7875 0.0510958 0.00277 0.257927 0.097985
73 1.8125 0.0948217 0.006055 0.287135 0.11788
74 1.8375 0.16528 0.01194 0.315207 0.140327
75 1.8625 0.25582 0.0212983 0.352294 0.166102
76 1.8875 0.362609 0.0349217 0.385987 0.195105
77 1.9125 0.477763 0.05335 0.418804 0.227413
78 1.9375 0.601205 0.07715 0.453262 0.2633
79 1.9625 0.710241 0.105997 0.493328 0.303373
80 1.9875 0.819076 0.140117 0.525046 0.347117
81 2.0125 0.906865 0.17885 0.570166 0.395822
82 2.0375 0.977106 0.221627 0.603562 0.448668
83 2.0625 1.05361 0.268892 0.642371 0.506302
84 2.0875 1.09566 0.319242 0.67107 0.567978
85 2.1125 1.13944 0.372865 0.70495 0.63433
86 2.1375 1.15192 0.428367 0.7397 0.70561
87 2.1625 1.19084 0.487093 0.762272 0.780793
88 2.1875 1.21216 0.548262 0.788842 0.860407
89 2.2125 1.21437 0.61095 0.8163 0.944685
90 2.2375 1.19465 0.674022 0.83246 1.03258
91 2.2625 1.20794 0.739228 0.858131 1.12523
92 2.2875 1.19636 0.805245 0.869891 1.22124
93 2.3125 1.18189 0.871897 0.895663 1.32225
94 2.3375 1.17494 0.939597 0.904723 1.42651
95 2.3625 1.17229 1.0086 0.917575 1.53453
96 2.3875 1.16576 1.07867 0.933298 1.64673
97 2.4125 1.13716 1.14847 0.938359 1.76192
98 2.4375 1.12547 1.21898 0.943722 1.88018
99 2.4625 1.11603 1.29035 0.94917 2.00157
100 2.4875 1.10198 1.36226 0.964886 2.12749
101 2.5125 1.0925 1.43498 0.968613 2.25645
102 2.5375 1.07732 1.50814 0.968913 2.38804
103 2.5625 1.07159 1.58234 0.982581 2.52412
104 2.5875 1.06427 1.65748 0.985073 2.66322
105 2.6125 1.04687 1.73283 0.991226 2.8059
106 2.6375 1.04052 1.80916 0.990745 2.95126
107 2.6625 1.03525 1.88655 0.988848 3.09911
