# Time-averaged data for fix outN
# TimeStep Number-of-rows
# Row c_grN[1] c_grN[2] c_grN[3] c_grN[4] c_grN[5]
20000000 400
1 0.0125 0 0 0 0
2 0.0375 0 0 0 0
3 0.0625 0 0 0 0
4 0.0875 0 0 0 0
5 0.1125 0 0 0 0
6 0.1375 0 0 0 0
7 0.1625 0 0 0 0
8 0.1875 0 0 0 0
9 0.2125 0 0 0 0
10 0.2375 0 0 0 0
11 0.2625 0 0 0 0
12 0.2875 0 0 0 0
13 0.3125 0 0 0 0
14 0.3375 0 0 0 0
15 0.3625 0 0 0 0
16 0.3875 0 0 0 0
17 0.4125 0 0 0 0
18 0.4375 0 0 0 0
19 0.4625 0 0 0 0
20 0.4875 0 0 0 0
21 0.5125 0 0 0 0
22 0.5375 0 0 0 0
23 0.5625 0 0 0 0
24 0.5875 0 0 0 0
25 0.6125 0 0 0 0
26 0.6375 0 0 0 0
27 0.6625 0 0 0 0
28 0.6875 0 0 0 0
29 0.7125 0 0 0 0
30 0.7375 0 0 0 0
31 0.7625 0 0 0 0
32 0.7875 0 0 0 0
33 0.8125 0 0 0 0
34 0.8375 0 0 0 0
35 0.8625 0 0 0 0
36 0.8875 0 0 0 0
37 0.9125 0 0 0 0
38 0.9375 0 0 0 0
39 0.9625 0 0 0 0
40 0.9875 0 0 0 0
41 1.0125 0 0 0 0
42 1.0375 0 0 0 0
43 1.0625 0 0 0 0
44 1.0875 0 0 0 0
45 1.1125 0 0 0 0
46 1.1375 0 0 0 0
47 1.1625 0 0 0 0
48 1.1875 0 0 0 0
49 1.2125 0 0 0 0
50 1.2375 0 0 0 0
51 1.2625 0 0 0 0
52 1.2875 0 0 0 0
53 1.3125 0 0 0 0
54 1.3375 0 0 0 0
55 1.3625 0 0 0 0
56 1.3875 0 0 0 0
57 1.4125 0 0 0 0
58 1.4375 0 0 0 0
59 1.4625 0 0 0 0
60 1.4875 0 0 0 0
61 1.5125 0 0 0.000207255 1e-05
62 1.5375 0 0 0.000100285 1.5e-05
63 1.5625 0 0 0.000485507 4e-05
64 1.5875 0 0 0.000940673 9e-05
65 1.6125 0 0 0.00337341 0.000275
66 1.6375 0 0 0.008399 0.00075
67 1.6625 0 0 0.0180978 0.001805
68 1.6875 0 0 0.0396266 0.004185
69 1.7125 0 0 0.0642648 0.00816
70 1.7375 0 0 0.111901 0.015285
71 1.7625 0 0 0.170411 0.02645
72 1.7875 0 0 0.270442 0.044675
73 1.8125 0 0 0.38939 0.071655
74 1.8375 0 0 0.540284 0.11013
75 1.8625 0 0 0.719827 0.162795
76 1.8875 0 0 0.937042 0.233205
77 1.9125 0 0 1.12452 0.319955
78 1.9375 0 0 1.33926 0.42599
79 1.9625 0 0 1.55212 0.55207
80 1.9875 0 0 1.72481 0.69577
81 2.0125 0 0 1.9163 0.859465
82 2.0375 0 0 2.04253 1.03831
83 2.0625 0.000557291 2.5e-05 2.16257 1.23233
84 2.0875 0.00141446 9e-05 2.24556 1.43871
85 2.1125 0.00563096 0.000355 2.26412 1.65182
86 2.1375 0.0176416 0.001205 2.23602 1.86729
87 2.1625 0.0500859 0.003675 2.13635 2.078
88 2.1875 0.106516 0.00905 1.94547 2.27434
89 2.2125 0.200592 0.019405 1.67433 2.44721
90 2.2375 0.341223 0.03742 1.40178 2.59523
91 2.2625 0.492111 0.063985 1.12927 2.71714
92 2.2875 0.689093 0.10201 0.893148 2.81571
93 2.3125 0.868356 0.15098 0.709739 2.89576
94 2.3375 1.00304 0.208775 0.569509 2.9614
95 2.3625 1.14027 0.27589 0.487012 3.01872
96 2.3875 1.21525 0.34894 0.415688 3.0687
97 2.4125 1.26041 0.4263 0.377586 3.11505
98 2.4375 1.3137 0.50861 0.360345 3.1602
99 2.4625 1.31077 0.59243 0.351462 3.20515
100 2.4875 1.28892 0.676535 0.366425 3.25298
101 2.5125 1.28548 0.76211 0.375242 3.30294
102 2.5375 1.26735 0.848165 0.398665 3.35707
103 2.5625 1.25913 0.935355 0.411286 3.41403
104 2.5875 1.25099 1.02368 0.445797 3.47698
105 2.6125 1.22911 1.11215 0.467177 3.54424
106 2.6375 1.24416 1.20342 0.501541 3.61782
107 2.6625 1.28812 1.29971 0.531762 3.69733
108 2.6875 1.34304 1.40201 0.557199 3.78221
109 2.7125 1.39689 1.51039 0.6032 3.87581
110 2.7375 1.45728 1.62556 0.627917 3.97505
111 2.7625 1.53578 1.74915 0.672738 4.08333
112 2.7875 1.59763 1.88006 0.693981 4.19707
113 2.8125 1.63558 2.01649 0.723027 4.31769
114 2.8375 1.69976 2.16082 0.762194 4.44712
115 2.8625 1.75225 2.31223 0.795491 4.58459
116 2.8875 1.7606 2.46703 0.818256 4.72849
117 2.9125 1.79232 2.62736 0.869442 4.88404
