# Time-averaged data for fix outO
# TimeStep Number-of-rows
# Row c_grO[1] c_grO[2] c_grO[3] c_grO[4] c_grO[5]
20000000 400
1 0.0125 0 0 0 0
2 0.0375 0 0 0 0
3 0.0625 0 0 0 0
4 0.0875 0 0 0 0
5 0.1125 0 0 0 0
6 0.1375 0 0 0 0
7 0.1625 0 0 0 0
8 0.1875 0 0 0 0
9 0.2125 0 0 0 0
10 0.2375 0 0 0 0
11 0.2625 0 0 0 0
12 0.2875 0 0 0 0
13 0.3125 0 0 0 0
14 0.3375 0 0 0 0
15 0.3625 0 0 0 0
16 0.3875 0 0 0 0
17 0.4125 0 0 0 0
18 0.4375 0 0 0 0
19 0.4625 0 0 0 0
20 0.4875 0 0 0 0
21 0.5125 0 0 0 0
22 0.5375 0 0 0 0
23 0.5625 0 0 0 0
24 0.5875 0 0 0 0
25 0.6125 0 0 0 0
26 0.6375 0 0 0 0
27 0.6625 0 0 0 0
28 0.6875 0 0 0 0
29 0.7125 0 0 0 0
30 0.7375 0 0 0 0
31 0.7625 0 0 0 0
32 0.7875 0 0 0.000191121 2.5e-06
33 0.8125 0 0 0.0105929 0.00015
34 0.8375 0 0 0.080267 0.0013375
35 0.8625 0 0 0.375062 0.0072225
36 0.8875 0 0 1.12033 0.025835
37 0.9125 0 0 2.4222 0.068375
38 0.9375 0 0 4.06381 0.14371
39 0.9625 0 0 5.54573 0.252073
40 0.9875 0 0 6.49066 0.385572
41 1.0125 0 0 6.70284 0.530505
42 1.0375 0 0 6.41246 0.67609
43 1.0625 0 0 5.70877 0.81202
44 1.0875 0 0 4.86793 0.933448
45 1.1125 0 0 3.98449 1.03746
46 1.1375 0 0 3.21327 1.12515
47 1.1625 0 0 2.53925 1.19753
48 1.1875 0 0 1.9726 1.2562
49 1.2125 0 0 1.52888 1.30361
50 1.2375 0 0 1.19443 1.34219
51 1.2625 0 0 0.931867 1.37352
52 1.2875 0 0 0.720557 1.39871
53 1.3125 0 0 0.573851 1.41956
54 1.3375 0 0 0.456922 1.4368
55 1.3625 0 0 0.362731 1.451
56 1.3875 0 0 0.304462 1.46336
57 1.4125 0 0 0.244708 1.47366
58 1.4375 0 0 0.212523 1.48292
59 1.4625 0 0 0.180936 1.49109
60 1.4875 0 0 0.155299 1.49833
61 1.5125 0 0 0.134767 1.50484
62 1.5375 0 0 0.119389 1.51079
63 1.5625 0 0 0.104093 1.51615
64 1.5875 0 0 0.0985826 1.52139
65 1.6125 0 0 0.0905805 1.52636
66 1.6375 0 0 0.0853604 1.53118
67 1.6625 0 0 0.0847853 1.53612
68 1.6875 0 0 0.0819588 1.54105
69 1.7125 0 0 0.0807959 1.54604
70 1.7375 0 0 0.081825 1.55126
71 1.7625 0 0 0.0759334 1.55623
72 1.7875 0.000519367 1.75e-05 0.0768663 1.56141
73 1.8125 0.00815438 0.0003 0.0818324 1.56708
74 1.8375 0.0626997 0.0025325 0.0822538 1.57294
75 1.8625 0.271242 0.012455 0.089594 1.57949
76 1.8875 0.765098 0.0412 0.0915949 1.58637
77 1.9125 1.57607 0.101992 0.0954056 1.59373
78 1.9375 2.52386 0.201905 0.0994325 1.60161
79 1.9625 3.31322 0.336473 0.10541 1.61017
80 1.9875 3.75222 0.492778 0.113187 1.6196
81 2.0125 3.76815 0.65372 0.122421 1.63006
82 2.0375 3.49494 0.806725 0.129086 1.64136
83 2.0625 3.06198 0.944085 0.14367 1.65425
84 2.0875 2.53482 1.06057 0.15181 1.6682
85 2.1125 2.07836 1.15838 0.161518 1.68341
86 2.1375 1.62873 1.23685 0.179788 1.70073
87 2.1625 1.28378 1.30017 0.194412 1.71991
88 2.1875 1.01026 1.35115 0.210281 1.74113
89 2.2125 0.821595 1.39356 0.232434 1.76513
90 2.2375 0.670751 1.42897 0.26302 1.7929
91 2.2625 0.570379 1.45976 0.294429 1.82468
92 2.2875 0.515891 1.48823 0.343437 1.86259
93 2.3125 0.495798 1.51619 0.416578 1.90957
94 2.3375 0.4859 1.54419 0.504188 1.96768
95 2.3625 0.499627 1.57359 0.636883 2.04265
96 2.3875 0.523031 1.60503 0.801889 2.13905
97 2.4125 0.554445 1.63906 0.973884 2.2586
98 2.4375 0.598792 1.67658 1.15433 2.40325
99 2.4625 0.640256 1.71752 1.31607 2.57157
100 2.4875 0.676223 1.76165 1.43145 2.75838
101 2.5125 0.718376 1.80947 1.49036 2.95681
102 2.5375 0.756204 1.86082 1.48209 3.15808
103 2.5625 0.797481 1.91604 1.44326 3.35796
104 2.5875 0.827928 1.97449 1.3692 3.5513
105 2.6125 0.857522 2.03621 1.29377 3.73754
106 2.6375 0.886361 2.10124 1.22535 3.91732
107 2.6625 0.910159 2.16928 1.14736 4.08886
108 2.6875 0.926127 2.23982 1.08048 4.25346
