# Time-averaged data for fix outW
# TimeStep Number-of-rows
# Row c_grW[1] c_grW[2] c_grW[3] c_grW[4] c_grW[5] c_grW[6] c_grW[7]
20000000 400
1 0.0125 0 0 0 0 0 0
2 0.0375 0 0 0 0 0 0
3 0.0625 0 0 0 0 0 0
4 0.0875 0 0 0 0 0 0
5 0.1125 0 0 0 0 0 0
6 0.1375 0 0 0 0 0 0
7 0.1625 0 0 0 0 0 0
8 0.1875 0 0 0 0 0 0
9 0.2125 0 0 0 0 0 0
10 0.2375 0 0 0 0 0 0
11 0.2625 0 0 0 0 0 0
12 0.2875 0 0 0 0 0 0
13 0.3125 0 0 0 0 0 0
14 0.3375 0 0 0 0 0 0
15 0.3625 0 0 0 0 0 0
16 0.3875 0 0 0 0 0 0
17 0.4125 0 0 0 0 0 0
18 0.4375 0 0 0 0 0 0
19 0.4625 0 0 0 0 0 0
20 0.4875 0 0 0 0 0 0
21 0.5125 0 0 0 0 0 0
22 0.5375 0 0 0 0 0 0
23 0.5625 0 0 0 0 0 0
24 0.5875 0 0 0 0 0 0
25 0.6125 0 0 0 0 0 0
26 0.6375 0 0 0 0 0 0
27 0.6625 0 0 0 0 0 0
28 0.6875 0 0 0 0 0 0
29 0.7125 0 0 0 0 0 0
30 0.7375 0 0 0 0 0 0
31 0.7625 0 0 0 0 0 0
32 0.7875 0 0 0 0 0 0
33 0.8125 0 0 0 0 0 0
34 0.8375 0 0 0 0 0 0
35 0.8625 0 0 0 0 0 0
36 0.8875 0 0 0 0 0 0
37 0.9125 0 0 0 0 0 0
38 0.9375 0 0 0 0 0 0
39 0.9625 0 0 0 0 0 0
40 0.9875 48.6504 1.00064 0 0 0 0
41 1.0125 46.2183 2 0 0 0 0
42 1.0375 0 2 0 0 0 0
43 1.0625 0 2 0 0 0 0
44 1.0875 0 2 0 0 0 0
45 1.1125 0 2 0 0 0 0
46 1.1375 0 2 0 0 0 0
47 1.1625 0 2 0 0 0 0
48 1.1875 0 2 0 0 0 0
49 1.2125 0 2 0 0 3.15247e-07 9.76563e-09
50 1.2375 0 2 0 0 1.21055e-06 4.88281e-08
51 1.2625 0 2 0 0 1.74463e-06 1.07422e-07
52 1.2875 0 2 0 0 2.7959e-06 2.05078e-07
53 1.3125 0 2 0 0 1.10307e-05 6.05469e-07
54 1.3375 0 2 0 0 2.64259e-05 1.60156e-06
55 1.3625 7.48241e-07 2 0 0 7.43979e-05 4.51172e-06
56 1.3875 1.63545e-05 2 0 0 0.000124704 9.57031e-06
57 1.4125 0.000148756 2.00001 0 0 0.000246234 1.99219e-05
58 1.4375 0.000996203 2.00005 0 0 0.00045889 3.99023e-05
59 1.4625 0.00453705 2.00026 0 0 0.000816466 7.66992e-05
60 1.4875 0.01641 2.00102 0 0 0.00141575 0.000142705
61 1.5125 0.0466989 2.00327 0 0 0.00238718 0.000257773
62 1.5375 0.110691 2.00879 0 0 0.00387533 0.000450801
63 1.5625 0.221646 2.02021 0 0 0.00621355 0.000770439
64 1.5875 0.385622 2.0407 0 0 0.00948563 0.00127414
65 1.6125 0.597885 2.07349 0 0 0.0143797 0.00206196
66 1.6375 0.836397 2.12079 0 0 17.7205 1.00326
67 1.6625 1.0749 2.18345 0 0 0.0306395 1.00504
68 1.6875 1.28676 2.26074 0 0 0.0430381 1.00762
69 1.7125 1.44787 2.35029 0 0 0.0592455 1.01128
70 1.7375 1.54928 2.44894 0 0 0.0798519 1.01636
71 1.7625 1.58988 2.55311 0 0 0.1057 1.02328
72 1.7875 1.5748 2.65923 0 0 0.136638 1.03248
73 1.8125 1.51557 2.76424 0 0 0.173345 1.04448
74 1.8375 1.42507 2.86572 0 0 0.215457 1.05981
75 1.8625 1.31522 2.96195 0 0 0.263908 1.0791
76 1.8875 1.19547 3.05178 0 0 0.317963 1.10297
77 1.9125 1.07571 3.13476 0 0 0.376496 1.13198
78 1.9375 0.958729 3.21067 0 0 0.439973 1.16678
79 1.9625 0.850205 3.27973 0 0 0.506875 1.20792
80 1.9875 0.751273 3.34232 0 0 0.57632 1.25588
81 2.0125 0.663018 3.39896 0 0 0.647679 1.31116
82 2.0375 0.584059 3.4501 0 0 0.720923 1.37422
83 2.0625 0.515938 3.49639 0 0 0.793702 1.44536
84 2.0875 0.457265 3.53842 0 0 0.865061 1.52479
85 2.1125 0.406549 3.57668 0 0 0.934886 1.61269
86 2.1375 0.363179 3.61168 0 0 1.00144 1.7091
87 2.1625 0.326609 3.64389 0 0 1.06403 1.81395
88 2.1875 0.295699 3.67374 0 0 1.12188 1.92706
89 2.2125 0.269426 3.70155 0 0 1.17496 2.04825
90 2.2375 0.248145 3.72775 0 0 1.22084 2.17703
91 2.2625 0.230613 3.75265 0 0 1.26087 2.31303
92 2.2875 0.216195 3.77651 0 0 1.29338 2.45563
93 2.3125 0.205036 3.79964 0 0 1.31861 2.60421
94 2.3375 0.196799 3.82232 0 0 1.33617 2.75804
95 2.3625 0.190989 3.8448 3.32481e-06 1.95313e-07 1.34644 2.91638
96 2.3875 0.188231 3.86743 5.89253e-05 3.73047e-06 1.34799 3.07828
97 2.4125 0.187619 3.89046 0.000546814 3.72266e-05 1.34102 3.24274
98 2.4375 0.189847 3.91425 0.00339103 0.000249277 1.3277 3.40895
99 2.4625 0.19478 3.93916 0.0147373 0.00118984 1.30655 3.57589
100 2.4875 0.202199 3.96555 0.0500908 0.00445199 1.27985 3.74275
101 2.5125 0.212484 3.99384 0.135896 0.0134809 1.2475 3.90868
102 2.5375 0.225852 4.02451 0.305441 0.0341804 1.20938 4.07276
103 2.5625 0.242202 4.05805 0.58159 0.0743747 1.16774 4.23432
104 2.5875 0.262156 4.09507 0.967677 0.142563 1.12323 4.39278
105 2.6125 0.285693 4.1362 1.4326 0.245473 1.07722 4.54769
106 2.6375 0.312423 4.18203 1.9188 0.385959 1.03097 4.6988
107 2.6625 0.342958 4.23331 2.36931 0.562734 0.98428 4.84582
108 2.6875 0.37696 4.29074 2.72398 0.769805 0.940062 4.98888
109 2.7125 0.414522 4.35506 2.95827 0.998889 0.898091 5.12811
110 2.7375 0.455695 4.42709 3.06449 1.24059 0.860863 5.26404
111 2.7625 0.500059 4.50757 3.05131 1.48568 0.826606 5.39696
112 2.7875 0.548109 4.5974 2.94367 1.72641 0.797167 5.52747
113 2.8125 0.600029 4.6975 2.77021 1.95704 0.77173 5.6561
114 2.8375 0.655976 4.80889 2.55899 2.17389 0.751789 5.78364
115 2.8625 0.715023 4.93246 2.33287 2.37508 0.735591 5.91063
116 2.8875 0.778219 5.06931 2.10936 2.56018 0.723449 6.03773
117 2.9125 0.845864 5.22064 1.8986 2.72969 0.715097 6.16554
118 2.9375 0.916668 5.38747 1.70618 2.88464 0.710416 6.2947
119 2.9625 0.99079 5.57087 1.53914 3.02681 0.708795 6.42578
120 2.9875 1.06776 5.77186 1.39509 3.15786 0.709797 6.55926
121 3.0125 1.14521 5.99106 1.27388 3.27953 0.713201 6.69563
122 3.0375 1.22126 6.22871 1.17187 3.39333 0.719311 6.83547
123 3.0625 1.2944 6.48476 1.08994 3.50092 0.726492 6.97904
124 3.0875 1.36202 6.7586 1.02202 3.60346 0.735204 7.12671
125 3.1125 1.42203 7.04915 0.969298 3.70229 0.74614 7.27901
126 3.1375 1.47311 7.35499 0.92739 3.79838 0.757646 7.43616
127 3.1625 1.51312 7.67417 0.896101 3.8927 0.770792 7.59859
128 3.1875 1.54245 8.0047 0.872323 3.98598 0.784709 7.76658
129 3.2125 1.56079 8.34442 0.853296 4.07867 0.799057 7.94034
130 3.2375 1.56847 8.69116 0.839589 4.17129 0.814464 8.12021
131 3.2625 1.56704 9.04294 0.830715 4.26435 0.830542 8.30648
132 3.2875 1.55798 9.39807 0.824551 4.35814 0.846868 8.49933
133 3.3125 1.54201 9.75493 0.822482 4.45313 0.863915 8.69906
134 3.3375 1.52183 10.1125 0.822099 4.54951 0.88184 8.90603
135 3.3625 1.49704 10.4694 0.822825 4.64742 0.899655 9.12036
136 3.3875 1.4692 10.825 0.825809 4.74716 0.917498 9.34219
137 3.4125 1.44062 11.1789 0.829066 4.84877 0.935811 9.57181
138 3.4375 1.41005 11.5303 0.832887 4.95235 0.954103 9.80936
139 3.4625 1.37901 11.879 0.837617 5.05805 0.972384 10.055
140 3.4875 1.34784 12.2247 0.842808 5.16594 0.990847 10.3089
